parameter,value,timestamp
Full_Spectrum,0,1546989409.4107938
Infrared,0,1546989409.4107938
Visible,0,1546989409.4107938
Full_Spectrum,0,1546989440.2021172
Infrared,0,1546989440.2021172
Visible,0,1546989440.2021172
Full_Spectrum,15,1546989471.0283985
Infrared,2,1546989471.0283985
Visible,13,1546989471.0283985
Full_Spectrum,128,1546989501.8111465
Infrared,10,1546989501.8111465
Visible,118,1546989501.8111465
Full_Spectrum,15,1546989532.5929549
Infrared,2,1546989532.5929549
Visible,13,1546989532.5929549
Full_Spectrum,3064,1546989563.3510811
Infrared,143,1546989563.3510811
Visible,2921,1546989563.3510811
Full_Spectrum,7709,1546989594.111093
Infrared,569,1546989594.111093
Visible,7140,1546989594.111093
Full_Spectrum,0,1546989624.8959696
Infrared,0,1546989624.8959696
Visible,0,1546989624.8959696
Full_Spectrum,0,1546990616.7750337
Infrared,0,1546990616.7750337
Visible,0,1546990616.7750337
Full_Spectrum,0,1546990647.5829089
Infrared,0,1546990647.5829089
Visible,0,1546990647.5829089
Full_Spectrum,0,1546990678.3567522
Infrared,0,1546990678.3567522
Visible,0,1546990678.3567522
Full_Spectrum,0,1546990707.7825205
Infrared,0,1546990707.7825205
Visible,0,1546990707.7825205
Full_Spectrum,0,1546990738.5434422
Infrared,0,1546990738.5434422
Visible,0,1546990738.5434422
Full_Spectrum,0,1546990769.3378
Infrared,0,1546990769.3378
Visible,0,1546990769.3378
Full_Spectrum,0,1546991102.9677217
Infrared,0,1546991102.9677217
Visible,0,1546991102.9677217
Full_Spectrum,0,1546991133.7653272
Infrared,0,1546991133.7653272
Visible,0,1546991133.7653272
Full_Spectrum,0,1546991164.5425453
Infrared,0,1546991164.5425453
Visible,0,1546991164.5425453
Full_Spectrum,0,1546991195.3145235
Infrared,0,1546991195.3145235
Visible,0,1546991195.3145235
Full_Spectrum,0,1546991226.1017869
Infrared,0,1546991226.1017869
Visible,0,1546991226.1017869
Full_Spectrum,253,1550167251.3469815
Infrared,40,1550167251.3469815
Visible,213,1550167251.3469815
Full_Spectrum,249,1550167282.114238
Infrared,39,1550167282.114238
Visible,210,1550167282.114238
Full_Spectrum,233,1550167313.0078888
Infrared,37,1550167313.0078888
Visible,196,1550167313.0078888
Full_Spectrum,249,1550167343.8606486
Infrared,38,1550167343.8606486
Visible,211,1550167343.8606486
Full_Spectrum,245,1550167374.6855128
Infrared,37,1550167374.6855128
Visible,208,1550167374.6855128
Full_Spectrum,242,1550167405.570152
Infrared,37,1550167405.570152
Visible,205,1550167405.570152
Full_Spectrum,235,1550167436.3900685
Infrared,35,1550167436.3900685
Visible,200,1550167436.3900685
Full_Spectrum,222,1550167467.186415
Infrared,33,1550167467.186415
Visible,189,1550167467.186415
Full_Spectrum,229,1550167498.0400424
Infrared,34,1550167498.0400424
Visible,195,1550167498.0400424
Full_Spectrum,220,1550167503.0759947
Infrared,33,1550167503.0759947
Visible,187,1550167503.0759947
Full_Spectrum,221,1550167528.821391
Infrared,33,1550167528.821391
Visible,188,1550167528.821391
Full_Spectrum,217,1550167534.0144656
Infrared,32,1550167534.0144656
Visible,185,1550167534.0144656
Full_Spectrum,207,1550167559.90532
Infrared,31,1550167559.90532
Visible,176,1550167559.90532
Full_Spectrum,222,1550167564.8000202
Infrared,33,1550167564.8000202
Visible,189,1550167564.8000202
Full_Spectrum,213,1550167590.760628
Infrared,31,1550167590.760628
Visible,182,1550167590.760628
Full_Spectrum,213,1550167595.619451
Infrared,31,1550167595.619451
Visible,182,1550167595.619451
Full_Spectrum,206,1550167621.5824764
Infrared,30,1550167621.5824764
Visible,176,1550167621.5824764
Full_Spectrum,206,1550167626.455377
Infrared,30,1550167626.455377
Visible,176,1550167626.455377
Full_Spectrum,214,1550167652.4222128
Infrared,31,1550167652.4222128
Visible,183,1550167652.4222128
Full_Spectrum,216,1550167657.29033
Infrared,31,1550167657.29033
Visible,185,1550167657.29033
Full_Spectrum,205,1550167683.3296096
Infrared,30,1550167683.3296096
Visible,175,1550167683.3296096
Full_Spectrum,204,1550167688.1391058
Infrared,30,1550167688.1391058
Visible,174,1550167688.1391058
Full_Spectrum,215,1550167714.2382998
Infrared,31,1550167714.2382998
Visible,184,1550167714.2382998
Full_Spectrum,217,1550167718.9402823
Infrared,31,1550167718.9402823
Visible,186,1550167718.9402823
Full_Spectrum,202,1550167745.0961697
Infrared,29,1550167745.0961697
Visible,173,1550167745.0961697
Full_Spectrum,210,1550167749.8134964
Infrared,30,1550167749.8134964
Visible,180,1550167749.8134964
Full_Spectrum,214,1550167776.190052
Infrared,30,1550167776.190052
Visible,184,1550167776.190052
Full_Spectrum,210,1550167780.6556816
Infrared,30,1550167780.6556816
Visible,180,1550167780.6556816
Full_Spectrum,203,1550167802.8777428
Infrared,29,1550167802.8777428
Visible,174,1550167802.8777428
Full_Spectrum,210,1550167807.0634615
Infrared,30,1550167807.0634615
Visible,180,1550167807.0634615
Full_Spectrum,211,1550167811.4873178
Infrared,30,1550167811.4873178
Visible,181,1550167811.4873178
Full_Spectrum,195,1550167833.788056
Infrared,27,1550167833.788056
Visible,168,1550167833.788056
Full_Spectrum,195,1550167837.8502595
Infrared,27,1550167837.8502595
Visible,168,1550167837.8502595
Full_Spectrum,196,1550167842.3179662
Infrared,27,1550167842.3179662
